gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
Negative93	10	10	N/A	1323.19	1311.94	-0.012	-0.165	-0.012	0.102	-0.012	0.048	-0.012	-27.56	-0.01625823	0.8800000000	1.0000000000
Negative94	10	10	N/A	1143.20	1151.01	0.010	0.018	0.010	0.073	0.010	0.112	0.010	-5.07	-0.00556670	0.9327500000	1.0000000000
Negative95	10	10	N/A	1700.95	1716.11	0.013	-0.184	0.013	0.183	0.013	0.168	0.013	28.20	0.01694991	0.9363500000	1.0000000000
Negative96	10	10	N/A	1777.19	1942.64	0.128	-0.003	0.128	-0.033	0.128	-0.017	0.128	-2.26	-0.00097867	1.0000000000	1.0000000000
Negative97	10	10	N/A	1305.00	1304.30	-0.001	-0.069	-0.001	0.026	-0.001	-0.152	-0.001	13.34	0.01881009	0.9888000000	1.0000000000
Negative98	10	10	N/A	1832.16	1716.11	-0.094	-0.091	-0.094	0.208	-0.094	-0.056	-0.094	46.22	0.02859268	0.8567000000	1.0000000000
Negative99	10	10	N/A	935.38	922.86	-0.019	-0.133	-0.019	-0.026	-0.019	-0.074	-0.019	-27.32	-0.03533921	0.8756500000	1.0000000000
RVBD0001:dnaA	112	102	ES	60.52	48.45	-0.321	-1.318	-1.291	1.343	0.766	0.390	0.037	-0.80	-0.00860473	0.6047000000	1.0000000000
RVBD0002:dnaN	144	142	ES	762.52	664.48	-0.199	-0.873	-1.444	0.395	0.305	-0.833	-0.763	-96.07	-0.11619353	0.0169500000	0.4506528125
RVBD0003:recF	6	6	NE	365.40	339.88	-0.104	-1.250	-0.104	0.158	-0.104	0.158	-0.104	-68.86	-0.11927866	0.0723000000	1.0000000000
RVBD0004:RVBD0004	5	5	NE	290.48	121.46	-1.258	-1.258	-1.258	-1.258	-1.258	-1.258	-1.258	-60.64	-0.33258075	0.0101000000	0.3050921429
RVBD0005:gyrB	124	121	ES	129.47	113.06	-0.196	-1.754	-1.362	0.807	1.074	-0.854	0.082	-6.82	-0.02509058	0.1623000000	1.0000000000
RVBD0006:gyrA	201	200	ES	636.91	695.22	0.126	-0.781	-0.611	0.767	0.369	-0.387	-0.426	-18.15	-0.02189721	0.3472500000	1.0000000000
RVBD0007:RVBD0007	5	5	NE	2447.86	2024.41	-0.274	-0.274	-0.274	-0.274	-0.274	-0.274	-0.274	-207.29	-0.35720962	0.0470000000	0.9450111374
RVBD0008c:RVBD0008c	6	6	NE	1626.58	1736.93	0.095	-0.047	0.095	-0.013	0.095	-0.013	0.095	17.81	0.01002652	0.9766500000	1.0000000000
RVBD0009:ppiA	5	5	NE	1198.25	983.29	-0.285	-0.285	-0.285	-0.285	-0.285	-0.285	-0.285	9.05	0.01399888	0.8895500000	1.0000000000
RVBD0010c:RVBD0010c	5	5	NE	2112.07	2028.40	-0.058	-0.058	-0.058	-0.058	-0.058	-0.058	-0.058	5.50	0.00171933	0.9908500000	1.0000000000
RVBD0011c:RVBD0011c	4	4	NE	1648.12	1362.02	-0.275	-0.275	-0.275	-0.275	-0.275	-0.275	-0.275	-29.40	-0.01643388	0.9470000000	1.0000000000
RVBD0012:RVBD0012	7	7	NE	2177.27	1775.70	-0.294	-0.187	-0.294	-0.267	-0.294	-0.297	-0.294	84.56	0.02628777	0.8442500000	1.0000000000
RVBD0013:trpG	101	100	ES	745.26	720.86	-0.048	-0.951	-0.570	0.232	0.247	-0.325	-0.537	-35.70	-0.03674674	0.1964000000	1.0000000000
RVBD0014c:pknB	162	159	ES	644.67	535.35	-0.268	-2.347	-1.205	0.144	0.298	-1.003	-0.714	-86.42	-0.12883018	0.0013500000	0.0607356383
RVBD0015c:pknA	101	98	ES	526.24	249.83	-1.075	-2.807	-1.973	0.282	0.148	-1.568	-1.425	-124.04	-0.25840658	0.0000500000	0.0041460784
RVBD0016c:pbpA	10	10	NE	697.96	370.82	-0.912	-0.927	-0.912	-0.879	-0.912	-0.898	-0.912	-178.84	-0.21498153	0.0029500000	0.1144545872
RVBD0017c:rodA	15	15	NE	910.36	514.78	-0.822	-0.964	-0.869	-0.601	-0.745	-0.707	-0.874	-242.72	-0.50632016	0.0000500000	0.0041460784
RVBD0018c:pstP	177	174	ESD	703.01	618.87	-0.184	-1.484	-0.697	0.266	0.231	-0.650	-0.746	-45.91	-0.05690522	0.0957000000	1.0000000000
RVBD0019c:fhaB	5	5	NE	1228.52	725.70	-0.759	-0.759	-0.759	-0.759	-0.759	-0.759	-0.759	-399.99	-0.40199264	0.6518500000	1.0000000000
RVBD0020c:fhaA	94	93	ESD	738.32	532.98	-0.470	-1.480	-1.090	0.291	0.007	-1.132	-0.968	-129.60	-0.20473289	0.0000500000	0.0041460784
RVBD0021c:RVBD0021c	7	7	NE	1569.87	1550.48	-0.018	-0.093	-0.018	0.113	-0.018	0.036	-0.018	65.27	0.06923689	0.6505500000	1.0000000000
RVBD0022c:whiB5	6	6	NE	1937.02	2242.54	0.211	0.253	0.211	0.195	0.211	0.195	0.211	-1.43	-0.00119043	1.0000000000	1.0000000000
RVBD0023:RVBD0023	58	56	GD	1371.02	1353.46	-0.019	-0.868	-0.546	0.393	0.369	-0.873	-0.507	22.87	0.01774229	0.9310500000	1.0000000000
RVBD0024:RVBD0024	5	5	NE	1379.70	1635.80	0.246	0.246	0.246	0.246	0.246	0.246	0.246	82.10	0.06382405	0.7608000000	1.0000000000
RVBD0025:RVBD0025	6	6	NE	1807.52	2101.92	0.218	0.038	0.218	0.046	0.218	0.046	0.218	-38.16	-0.02030120	0.8877500000	1.0000000000
RVBD0026:RVBD0026	14	14	NE	753.45	744.84	-0.017	-0.144	-0.111	0.133	-0.009	0.010	-0.023	-37.98	-0.10094728	0.6317000000	1.0000000000
RVBD0027:RVBD0027	4	4	NE	2087.60	2045.01	-0.030	-0.030	-0.030	-0.030	-0.030	-0.030	-0.030	37.17	0.02851343	0.7744000000	1.0000000000
RVBD0028:RVBD0028	7	7	NE	1137.73	1157.48	0.025	0.009	0.025	0.252	0.025	0.025	0.025	-128.48	-0.10908672	0.6888500000	1.0000000000
RVBD0029:RVBD0029	9	9	NE	1648.16	1647.39	-0.001	-0.092	-0.001	0.145	-0.001	-0.041	-0.001	77.06	0.06793869	0.5328000000	1.0000000000
RVBD0030:RVBD0030	4	4	NE	1446.92	1612.39	0.156	0.156	0.156	0.156	0.156	0.156	0.156	61.11	0.05069310	0.7055000000	1.0000000000
RVBD0031:RVBD0031	2	2	Uncertain	1274.74	1097.19	-0.216	-0.216	-0.216	-0.216	-0.216	-0.216	-0.216	-96.20	-0.15672830	0.6974000000	1.0000000000
RVBD0032:bioF2	29	29	NE	691.87	713.80	0.045	-0.239	-0.288	-0.122	0.104	0.021	-0.055	-29.44	-0.05385418	0.7028000000	1.0000000000
RVBD0033:acpA	5	5	NE	2856.44	2944.45	0.044	0.044	0.044	0.044	0.044	0.044	0.044	17.53	0.00546278	0.9612500000	1.0000000000
RVBD0034:RVBD0034	7	7	NE	1456.58	1584.83	0.122	0.107	0.122	0.138	0.122	0.107	0.122	-112.36	-0.14916473	0.5216500000	1.0000000000
RVBD0035:fadD34	10	10	NE	1246.18	1130.78	-0.140	0.020	-0.140	0.285	-0.140	-0.080	-0.140	115.60	0.13508365	0.5692000000	1.0000000000
RVBD0036c:RVBD0036c	6	6	NE	2718.76	2940.27	0.113	0.074	0.113	0.057	0.113	0.057	0.113	-84.26	-0.03421333	0.9878500000	1.0000000000
RVBD0037c:RVBD0037c	17	17	NE	1525.05	1382.38	-0.142	-0.391	-0.300	0.007	-0.178	-0.250	-0.196	-86.58	-0.09883292	0.4840000000	1.0000000000
RVBD0038:RVBD0038	5	5	NE	1927.92	1841.20	-0.066	-0.066	-0.066	-0.066	-0.066	-0.066	-0.066	116.29	0.04825531	0.3157500000	1.0000000000
RVBD0039c:RVBD0039c	5	5	NE	1603.72	1523.56	-0.074	-0.074	-0.074	-0.074	-0.074	-0.074	-0.074	69.51	0.06155794	0.7322500000	1.0000000000
RVBD0040c:mtc28	7	7	NE	1815.53	1130.19	-0.684	-0.788	-0.684	-0.704	-0.684	-0.684	-0.684	-358.60	-0.27325398	0.2654500000	1.0000000000
RVBD0041:leuS	287	284	ES	459.71	370.13	-0.313	-1.181	-1.378	0.577	0.203	-0.732	-0.551	-53.42	-0.08494845	0.0000500000	0.0041460784
RVBD0042c:RVBD0042c	7	5	NE	632.50	508.99	-0.313	-0.313	-0.313	-0.313	-0.313	-0.313	-0.313	1.17	0.00109445	0.9722500000	1.0000000000
RVBD0043c:RVBD0043c	15	15	NE	1355.60	1620.47	0.257	0.064	0.089	0.321	0.318	0.091	0.083	50.74	0.05816793	0.7626500000	1.0000000000
RVBD0044c:RVBD0044c	10	9	NE	1034.85	1214.65	0.231	-0.178	0.231	0.091	0.231	-0.128	0.231	-90.25	-0.12059963	0.2309500000	1.0000000000
RVBD0045c:RVBD0045c	11	11	NE	1216.41	1292.07	0.087	-0.125	-0.116	0.076	-0.116	-0.165	-0.116	-26.03	-0.01671485	0.8307500000	1.0000000000
RVBD0046c:ino1	52	51	ES	735.89	740.36	0.009	-0.769	-0.500	0.326	0.209	-0.310	0.307	-4.59	-0.00437381	0.7915000000	1.0000000000
RVBD0047c:RVBD0047c	7	7	NE	236.02	214.01	-0.141	-0.439	-0.141	-0.069	-0.141	0.288	-0.141	-39.36	-0.17579392	0.5111500000	1.0000000000
RVBD0048c:RVBD0048c	6	6	NE	1978.52	2263.44	0.194	-0.014	0.194	0.160	0.194	0.160	0.194	-274.81	-0.14537736	0.8265500000	1.0000000000
RVBD0049:RVBD0049	7	7	NE	793.02	458.02	-0.792	-0.580	-0.792	-0.673	-0.792	-0.792	-0.792	-67.32	-0.12137396	0.7661000000	1.0000000000
RVBD0050:ponA1	15	15	NE	1149.45	1028.27	-0.161	-0.187	-0.172	0.294	-0.187	-0.012	-0.118	58.27	0.07284830	0.4529000000	1.0000000000
RVBD0051:RVBD0051	22	22	NE	967.69	945.16	-0.034	-0.163	-0.142	0.162	0.075	-0.184	-0.002	-2.22	-0.00354493	1.0000000000	1.0000000000
RVBD0052:RVBD0052	8	8	NE	2039.21	1906.51	-0.097	0.026	-0.097	-0.015	-0.097	-0.088	-0.097	118.69	0.08469568	0.3521500000	1.0000000000
RVBD0053:rpsF	22	20	ES	90.99	68.41	-0.412	-0.032	-0.699	0.327	0.153	0.001	-0.122	-4.74	-0.04474396	0.8436000000	1.0000000000
RVBD0054:ssb	8	8	ES	91.23	77.97	-0.226	-0.254	-0.226	0.160	-0.226	-0.254	-0.226	-6.99	-0.07044149	0.7164000000	1.0000000000
RVBD0055:rpsR1	12	12	ES	96.19	83.45	-0.205	-0.395	-0.352	0.146	0.233	0.080	0.061	-13.35	-0.12151840	0.2820500000	1.0000000000
RVBD0056:rplI	6	6	NE	542.95	663.24	0.289	0.210	0.289	0.210	0.289	0.210	0.289	-86.00	-0.18471519	0.5872000000	1.0000000000
RVBD0057:RVBD0057	8	8	NE	126.58	85.02	-0.574	-0.785	-0.574	-0.072	-0.574	-0.195	-0.574	5.50	0.03421599	0.7883500000	1.0000000000
RVBD0058:dnaB	208	195	ES	254.17	193.81	-0.391	-2.610	-1.948	0.672	0.471	0.561	-0.376	-4.53	-0.01139259	0.3506000000	1.0000000000
RVBD0059:RVBD0059	7	7	GA	2124.17	2508.76	0.240	-0.236	0.240	0.111	0.240	-0.236	0.240	-66.47	-0.02841760	0.4487000000	1.0000000000
RVBD0060:RVBD0060	65	55	ES	182.45	145.36	-0.328	-1.762	-1.374	0.831	0.617	-0.657	-0.278	-0.38	-0.00112672	0.8176000000	1.0000000000
RVBD0061c:RVBD0061c	6	6	NE	1333.17	1345.90	0.014	-0.052	0.014	-0.012	0.014	-0.012	0.014	123.82	0.15618163	0.8245500000	1.0000000000
RVBD0062:celA1	11	11	NE	907.77	981.48	0.113	0.001	0.045	-0.150	0.045	0.116	0.010	-18.83	-0.02786482	0.9854500000	1.0000000000
RVBD0063:RVBD0063	19	19	NE	1356.23	1411.30	0.057	-0.432	0.002	0.224	0.171	-0.109	0.068	76.52	0.06641641	0.5674000000	1.0000000000
RVBD0064:RVBD0064	38	38	NE	1123.98	1113.66	-0.013	-0.231	-0.157	0.117	0.142	0.123	-0.083	-35.26	-0.03340746	0.7618500000	1.0000000000
RVBD0064A:vapB1	6	6	NE	2066.68	2302.74	0.156	-0.043	0.156	0.054	0.156	-0.043	0.156	-86.66	-0.02823978	0.6273000000	1.0000000000
RVBD0065:vapC1	7	7	NE	2613.75	2359.89	-0.147	-0.153	-0.147	0.182	-0.147	0.182	-0.147	-32.89	-0.01813826	1.0000000000	1.0000000000
RVBD0066c:icd2	23	22	NE	1124.21	1061.54	-0.083	-0.284	-0.175	0.243	0.121	-0.203	-0.131	42.14	0.04738229	0.3664000000	1.0000000000
RVBD0067c:RVBD0067c	5	5	NE	2396.22	2255.73	-0.087	-0.087	-0.087	-0.087	-0.087	-0.087	-0.087	-82.18	-0.05683452	0.9635000000	1.0000000000
RVBD0068:RVBD0068	5	5	NE	2901.00	2928.69	0.014	0.014	0.014	0.014	0.014	0.014	0.014	-121.57	-0.05248173	0.6753500000	1.0000000000
RVBD0069c:sdaA	11	11	NE	1501.08	1625.31	0.115	0.093	0.052	0.176	0.052	0.085	0.052	-210.14	-0.14286815	0.8037500000	1.0000000000
RVBD0070c:glyA2	11	11	NE	954.84	1049.80	0.137	-0.145	-0.092	0.099	0.131	-0.077	-0.092	-90.86	-0.09461951	0.3479000000	1.0000000000
RVBD0071:RVBD0071	6	6	NE	1484.64	1467.03	-0.017	-0.264	-0.017	-0.006	-0.017	-0.006	-0.017	134.11	0.11155091	0.5118000000	1.0000000000
RVBD0072:RVBD0072	10	10	NE	1800.20	2192.15	0.284	-0.080	0.284	0.248	0.284	0.171	0.284	-5.76	-0.00291135	0.9662000000	1.0000000000
RVBD0073:RVBD0073	8	8	NE	1639.30	1662.55	0.020	-0.170	0.020	0.066	0.020	-0.030	0.020	-98.00	-0.11862421	0.4089000000	1.0000000000
RVBD0074:RVBD0074	6	6	NE	2174.50	2150.21	-0.016	0.025	-0.016	-0.030	-0.016	-0.030	-0.016	88.61	0.04524661	0.7653500000	1.0000000000
RVBD0075:RVBD0075	6	6	NE	2106.02	2178.23	0.049	0.072	0.049	0.072	0.049	0.028	0.049	98.39	0.04369219	0.8034000000	1.0000000000
RVBD0076c:RVBD0076c	9	9	NE	1161.94	1141.33	-0.026	-0.146	-0.026	-0.040	-0.026	0.057	-0.026	65.42	0.06910570	0.7858000000	1.0000000000
RVBD0077c:RVBD0077c	8	8	NE	4414.81	4457.74	0.014	0.058	0.014	0.114	0.014	-0.017	0.014	-301.93	-0.07684063	0.8024500000	1.0000000000
RVBD0078:RVBD0078	7	7	NE	938.02	818.31	-0.197	-0.197	-0.197	0.180	-0.197	-0.197	-0.197	40.76	0.03329181	0.7670500000	1.0000000000
RVBD0078A:RVBD0078A	8	8	NE	2243.53	2125.39	-0.078	0.065	-0.078	0.046	-0.078	-0.084	-0.078	-159.21	-0.19201474	0.3862500000	1.0000000000
RVBD0078B:RVBD0078B	3	3	NE	1518.99	1579.04	0.056	0.056	0.056	0.056	0.056	0.056	0.056	13.56	0.00993614	0.9278500000	1.0000000000
RVBD0079:RVBD0079	7	7	NE	823.04	802.16	-0.037	-0.037	-0.037	0.096	-0.037	-0.037	-0.037	85.49	0.10888894	0.7043000000	1.0000000000
RVBD0080:RVBD0080	5	5	NE	1161.62	1219.42	0.070	0.070	0.070	0.070	0.070	0.070	0.070	-21.20	-0.01083108	0.9064000000	1.0000000000
RVBD0081:RVBD0081	5	5	NE	2205.09	2307.83	0.066	0.066	0.066	0.066	0.066	0.066	0.066	-125.05	-0.05558156	0.7185000000	1.0000000000
RVBD0082:RVBD0082	2	2	NE	882.53	884.27	0.003	0.003	0.003	0.003	0.003	0.003	0.003	7.39	0.01371992	1.0000000000	1.0000000000
RVBD0083:RVBD0083	13	13	NE	992.49	922.00	-0.106	-0.602	-0.111	-0.013	0.039	-0.165	0.039	-132.14	-0.15414399	0.5736000000	1.0000000000
RVBD0084:hycD	7	7	NE	546.22	479.14	-0.189	-0.104	-0.189	-0.189	-0.189	-0.104	-0.189	-5.07	-0.01231748	1.0000000000	1.0000000000
RVBD0085:hycP	6	6	NE	1590.63	1494.70	-0.090	-0.000	-0.090	0.099	-0.090	0.099	-0.090	135.74	0.05986501	0.6324500000	1.0000000000
RVBD0086:hycQ	22	22	NE	812.95	825.40	0.022	-0.347	-0.085	0.146	0.198	-0.388	-0.038	-13.98	-0.02030037	1.0000000000	1.0000000000
RVBD0087:hycE	9	9	NE	962.96	809.76	-0.250	-0.250	-0.250	-0.049	-0.250	-0.250	-0.250	-32.56	-0.03287881	0.9659500000	1.0000000000
RVBD0088:RVBD0088	6	6	NE	1632.95	1807.85	0.147	0.084	0.147	0.084	0.147	0.084	0.147	-61.10	-0.03234561	0.7477000000	1.0000000000
RVBD0089:RVBD0089	5	5	NE	1076.47	1231.31	0.194	0.194	0.194	0.194	0.194	0.194	0.194	109.08	0.08397330	0.7458000000	1.0000000000
RVBD0090:RVBD0090	6	6	NE	1229.24	1202.19	-0.032	-0.188	-0.032	-0.031	-0.032	0.080	-0.032	110.63	0.09110546	0.8396500000	1.0000000000
RVBD0091:mtn	6	6	NE	2061.06	2163.23	0.070	0.058	0.070	0.024	0.070	0.058	0.070	-96.66	-0.05268589	0.6037500000	1.0000000000
RVBD0092:ctpA	10	10	NE	1630.20	1572.32	-0.052	-0.047	-0.052	-0.026	-0.052	-0.026	-0.052	-24.86	-0.01266522	0.9182000000	1.0000000000
RVBD0093c:RVBD0093c	5	5	NE	2006.98	1545.10	-0.377	-0.377	-0.377	-0.377	-0.377	-0.377	-0.377	-134.56	-0.08025956	0.7238500000	1.0000000000
RVBD0094c:RVBD0094c	4	4	NE	4580.12	5048.58	0.140	0.140	0.140	0.140	0.140	0.140	0.140	-70.27	-0.01733003	0.8893500000	1.0000000000
RVBD0095c:RVBD0095c	6	6	NE	1528.98	1624.29	0.087	-0.039	0.087	0.091	0.087	0.091	0.087	-86.69	-0.12804310	0.3738000000	1.0000000000
RVBD0096:PPE1	12	12	NE	912.97	1022.95	0.164	0.014	0.115	0.141	0.164	0.190	0.158	16.32	0.03212712	0.8794000000	1.0000000000
RVBD0097:RVBD0097	10	10	NE	2287.55	2147.08	-0.091	-0.065	-0.091	0.071	-0.091	0.163	-0.091	75.99	0.04438047	0.7283000000	1.0000000000
RVBD0098:fcoT	11	11	NE	1240.68	1296.75	0.064	0.178	0.278	0.289	0.278	0.111	0.051	-2.56	-0.00252025	0.9691000000	1.0000000000
RVBD0099:fadD10	19	18	NE	1574.32	1516.94	-0.054	-0.130	-0.022	0.091	0.176	0.027	0.002	-45.43	-0.04001728	0.9086000000	1.0000000000
RVBD0100:RVBD0100	5	5	NE	3516.08	3262.47	-0.108	-0.108	-0.108	-0.108	-0.108	-0.108	-0.108	-209.20	-0.09802561	0.7235000000	1.0000000000
RVBD0101:nrp	52	52	NE	836.32	859.54	0.040	-0.346	-0.111	0.369	0.137	0.222	-0.113	6.36	0.00840990	1.0000000000	1.0000000000
RVBD0102:RVBD0102	241	239	ES	865.85	839.84	-0.044	-0.407	-0.480	0.994	0.207	-0.215	-0.226	-20.32	-0.02604670	0.6350000000	1.0000000000
RVBD0103c:ctpB	17	17	NE	1301.13	1225.37	-0.087	-0.130	-0.164	0.272	-0.164	-0.027	-0.074	-30.44	-0.03523115	0.7649000000	1.0000000000
RVBD0104:RVBD0104	25	25	NE	1216.35	1092.87	-0.154	-0.369	-0.188	0.222	0.185	-0.278	-0.140	10.45	0.00994668	0.9704000000	1.0000000000
RVBD0105c:rpmB1	2	2	NE	2656.13	2844.86	0.099	0.099	0.099	0.099	0.099	0.099	0.099	36.25	0.00844130	0.6992000000	1.0000000000
RVBD0106:RVBD0106	6	6	NE	1051.54	1132.67	0.107	-0.191	0.107	0.087	0.107	0.087	0.107	-59.36	-0.08110082	0.6328000000	1.0000000000
RVBD0107c:ctpI	27	27	NE	1270.87	1226.22	-0.052	-0.188	-0.219	0.054	0.073	-0.125	0.012	-18.56	-0.02033373	1.0000000000	1.0000000000
RVBD0108c:RVBD0108c	5	5	NE	2450.95	2539.96	0.051	0.051	0.051	0.051	0.051	0.051	0.051	-8.67	-0.00341054	0.8963500000	1.0000000000
RVBD0109:PE-PGRS1	6	6	NE	1152.86	1062.65	-0.118	-0.208	-0.118	-0.190	-0.118	-0.190	-0.118	-71.20	-0.03835656	0.7435000000	1.0000000000
RVBD0110:RVBD0110	5	5	NE	823.04	797.08	-0.046	-0.046	-0.046	-0.046	-0.046	-0.046	-0.046	65.21	0.13209378	0.6150500000	1.0000000000
RVBD0111:RVBD0111	20	19	NE	793.02	873.39	0.139	-0.282	-0.135	0.210	-0.021	-0.266	0.036	7.96	0.00934479	0.8685000000	1.0000000000
RVBD0112:gca	10	10	NE	2372.68	2520.69	0.087	-0.144	0.087	-0.031	0.087	0.210	0.087	12.00	0.00489142	0.9353500000	1.0000000000
RVBD0113:gmhA	6	6	NE	2278.02	2238.42	-0.025	-0.061	-0.025	0.003	-0.025	-0.018	-0.025	-48.72	-0.02371535	0.8476000000	1.0000000000
RVBD0114:gmhB	8	8	NE	1252.72	1237.19	-0.018	-0.004	-0.018	0.122	-0.018	-0.004	-0.018	61.88	0.06408473	0.7489000000	1.0000000000
RVBD0115:hddA	17	17	NE	790.63	803.98	0.024	-0.185	-0.104	0.076	0.207	0.255	0.027	70.77	0.06529609	0.4660000000	1.0000000000
RVBD0116c:ldtA	5	5	NE	1084.34	1153.98	0.090	0.090	0.090	0.090	0.090	0.090	0.090	-68.40	-0.06756816	1.0000000000	1.0000000000
RVBD0117:oxyS	6	6	NE	1498.07	1485.62	-0.012	-0.042	-0.012	0.282	-0.012	0.282	-0.012	29.01	0.03314239	0.8910000000	1.0000000000
RVBD0118c:oxcA	10	10	NE	2044.41	2099.61	0.038	-0.031	0.038	0.027	0.038	-0.031	0.038	54.31	0.03391296	0.8760500000	1.0000000000
RVBD0119:fadD7	10	10	NE	2369.70	2573.94	0.119	-0.046	0.119	0.211	0.119	-0.015	0.119	12.09	0.00566823	0.9631000000	1.0000000000
RVBD0120c:fusA2	20	20	NE	1015.62	1052.18	0.051	-0.222	-0.029	0.019	0.094	-0.067	-0.037	-1.52	-0.00171280	0.9916500000	1.0000000000
RVBD0121c:RVBD0121c	5	5	NE	2844.33	2706.51	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072	-0.072	-13.86	-0.00725391	1.0000000000	1.0000000000
RVBD0122:RVBD0122	5	5	NE	3007.73	2938.50	-0.034	-0.034	-0.034	-0.034	-0.034	-0.034	-0.034	-213.47	-0.08075891	0.7349500000	1.0000000000
RVBD0123:RVBD0123	5	5	NE	44.51	43.07	-0.047	-0.047	-0.047	-0.047	-0.047	-0.047	-0.047	4.17	0.09184237	1.0000000000	1.0000000000
RVBD0124:PE-PGRS2	6	5	NE	1569.10	1324.54	-0.244	-0.244	-0.244	-0.244	-0.244	-0.244	-0.244	-28.05	-0.02348786	0.7037000000	1.0000000000
RVBD0125:pepA	7	7	NE	1614.37	1728.14	0.098	0.008	0.098	0.098	0.098	0.098	0.098	259.60	0.14499544	0.6574000000	1.0000000000
RVBD0126:treS	27	27	NE	647.37	516.83	-0.325	-0.484	-0.511	0.084	-0.145	-0.347	-0.381	-71.71	-0.13962429	0.2542000000	1.0000000000
RVBD0127:mak	13	12	NE	1004.59	772.57	-0.379	-0.196	-0.409	0.082	-0.199	-0.044	-0.379	2.00	0.00190763	1.0000000000	1.0000000000
RVBD0128:RVBD0128	10	10	NE	1827.66	1903.30	0.058	-0.011	0.058	0.100	0.058	-0.011	0.058	32.02	0.02288330	0.9342500000	1.0000000000
RVBD0129c:fbpC	13	13	NE	901.71	1116.32	0.308	0.154	0.155	0.601	0.231	0.071	0.193	35.46	0.03004683	0.4975000000	1.0000000000
RVBD0130:htdZ	5	5	NE	712.10	1000.64	0.491	0.491	0.491	0.491	0.491	0.491	0.491	-58.34	-0.08281359	0.2971000000	1.0000000000
RVBD0131c:fadE1	13	13	NE	1769.79	1613.75	-0.133	-0.158	-0.213	-0.055	-0.045	0.009	-0.097	-69.24	-0.04367610	0.8283000000	1.0000000000
RVBD0132c:fgd2	13	13	NE	1019.60	1081.61	0.085	-0.410	-0.160	0.189	0.093	-0.085	-0.083	-46.39	-0.03355223	0.7057500000	1.0000000000
RVBD0133:RVBD0133	5	5	NE	1569.10	1711.99	0.126	0.126	0.126	0.126	0.126	0.126	0.126	48.73	0.03324434	0.5949000000	1.0000000000
RVBD0134:ephF	12	12	NE	1289.33	1230.16	-0.068	-0.150	-0.063	0.141	0.009	-0.035	-0.068	96.89	0.15571863	0.3183500000	1.0000000000
RVBD0135c:RVBD0135c	5	5	NE	671.64	642.03	-0.065	-0.065	-0.065	-0.065	-0.065	-0.065	-0.065	-159.71	-0.41723190	0.4399500000	1.0000000000
RVBD0136:cyp138	12	12	NE	1188.74	1397.87	0.234	-0.149	0.021	0.153	0.234	-0.169	0.234	-41.63	-0.03540751	0.7822000000	1.0000000000
RVBD0137c:msrA	8	8	NE	2418.46	2495.31	0.045	-0.142	0.045	0.112	0.045	-0.018	0.045	-3.36	-0.00143833	0.9717000000	1.0000000000
RVBD0138:RVBD0138	8	8	GA	2801.99	2321.74	-0.271	-0.087	-0.271	0.038	-0.271	0.063	-0.271	38.44	0.01566844	0.7497000000	1.0000000000
RVBD0139:RVBD0139	8	8	GA	1410.67	1452.80	0.042	-0.052	0.042	-0.007	0.042	-0.002	0.042	3.51	0.00281217	1.0000000000	1.0000000000
RVBD0140:RVBD0140	6	6	NE	2642.01	2778.07	0.072	-0.059	0.072	0.139	0.072	0.139	0.072	-33.46	-0.01118015	0.9772000000	1.0000000000
RVBD0141c:RVBD0141c	5	5	NE	2990.03	2760.05	-0.115	-0.115	-0.115	-0.115	-0.115	-0.115	-0.115	-121.29	-0.07033865	0.6447500000	1.0000000000
RVBD0142:RVBD0142	7	7	NE	1857.13	1862.46	0.004	-0.230	0.004	0.017	0.004	0.017	0.004	-387.20	-0.17988328	0.2855500000	1.0000000000
RVBD0143c:RVBD0143c	16	16	NE	1006.51	992.92	-0.020	-0.086	-0.058	0.207	0.107	0.158	-0.013	43.49	0.09522845	0.3371500000	1.0000000000
RVBD0144:RVBD0144	6	6	NE	1954.24	1853.74	-0.076	-0.114	-0.076	-0.154	-0.076	-0.154	-0.076	34.86	0.02039518	0.7838000000	1.0000000000
RVBD0145:RVBD0145	7	7	NE	1349.54	1341.90	-0.008	-0.008	-0.008	-0.008	-0.008	-0.008	-0.008	-45.37	-0.02460679	0.6489500000	1.0000000000
RVBD0146:RVBD0146	7	7	GA	1331.39	1082.11	-0.299	-0.299	-0.299	-0.172	-0.299	-0.076	-0.299	23.30	0.02088240	1.0000000000	1.0000000000
RVBD0147:RVBD0147	7	7	GA	2281.97	2137.29	-0.094	-0.094	-0.094	0.047	-0.094	-0.094	-0.094	16.25	0.00798226	1.0000000000	1.0000000000
RVBD0148:RVBD0148	7	7	GA	2989.57	3041.74	0.025	-0.060	0.025	-0.201	0.025	-0.201	0.025	-225.95	-0.10674395	0.7323000000	1.0000000000
RVBD0149:RVBD0149	8	8	GA	1978.58	1968.94	-0.007	0.088	-0.007	0.005	-0.007	0.088	-0.007	-7.57	-0.00412967	0.9551000000	1.0000000000
RVBD0150c:RVBD0150c	7	7	GA	1711.48	1804.62	0.076	0.018	0.076	0.124	0.076	0.018	0.076	128.60	0.15470721	0.5502000000	1.0000000000
